Rank,Name,Keywords,Corr,pvalue,Signedcorrvalue,ID
749,MF_CompareTestSets_y_ss_best_uniform_25_01_1_mabserr_std,"model,prediction,stationarity",0.386,5.960761920311302e-37,-0.386,7036
750,FC_LocalSimple_meantau_swm,forecasting,0.386,6.886341348568162e-37,-0.386,3092
751,MF_GARCHfit_ar_P1_Q2_constanterr,model,0.385,1.337747317627791e-36,-0.385,7419
752,MF_FitSubsegments_arma_2_2_uniform_25_01_fpe_std,"model,prediction",0.385,8.96541207863469e-37,-0.385,6969
753,NL_TSTL_GPCorrSum2_n1_05_40_20_ac_fnnmar_meanlnCr,"nonlinear,correlation,tstool,stochastic",0.385,2.3284872007741377e-35,-0.385,5112
754,NL_TISEAN_fnn_1_10_005_nHood2_10,"nonlinear,dimension,tisean",0.385,4.675449395284075e-35,-0.385,4820
755,ST_LocalExtrema_n100_minmax,"distribution,stationarity",0.385,1.1903997532519801e-36,0.385,3460
756,CO_AddNoise_ac_std1_10_pcrossmean,"correlation,AMI,entropy",0.385,1.0406931917018119e-36,-0.385,1259
757,MF_armax_2_2_05_1_ac3n,model,0.384,2.0139254949339985e-36,0.384,7315
758,MF_CompareTestSets_y_ar_4_rand_25_01_1_mabserr_std,"model,prediction,stationarity",0.384,1.7080531647270556e-36,-0.384,6996
759,WL_coeffs_db3_5_wb25m,wavelet,0.384,1.537625329127851e-36,-0.384,6535
760,NL_TSTL_dimensions_50_ac_fnnmar_scr_bc_m3_scaling_int,"nonlinear,tstool,scaling,dimension",0.384,1.6399550928141487e-35,0.384,5233
761,SP_Summaries_welch_rect_maxS,FourierSpectrum,0.384,2.092128459977291e-36,0.384,4443
762,CO_Embed2_Shapes_tau_circle_01_ac1,"correlation,embedding",0.384,1.644932559845948e-36,0.384,2024
763,MF_StateSpace_n4sid_3_05_1_acmnd0,model,0.383,3.086906551641543e-36,0.383,7183
764,NL_MS_nlpe_3_ac_ftbth,"nonlinear,prediction,model",0.383,5.280468744192427e-36,0.383,6707
765,NL_MS_nlpe_2_mi_ac2n,"nonlinear,prediction,model",0.383,5.859036960488936e-36,0.383,6675
766,SY_SlidingWindow_lil_ent2_1,stationarity,0.383,2.6141986229110147e-36,0.383,711
